AddressID,Street,City,State,ZipCode,Country
1,123 Ark Street,Springfield,IL,62701,USA
2,456 Oak Avenue,Hometown,CA,90210,USA
3,789 Pine Road,Cityville,NY,10001,USA
4,101 Maple Lane,Seaside,FL,33101,USA
5,202 Birch Blvd,Crustown,TX,73301,USA
6,303 Cedar St,Greenville,SC,29601,USA
7,404 Willow Way,Fairview,OR,97024,USA
8,505 Aspen Ave,Lakeside,MI,49116,USA
9,606 Redwood Rd,Hilltop,CO,80021,USA
10,707 Fir Ln,Meadowbrook,PA,19046,USA
11,808 Spruce Dr,Brookfield,CT,06804,USA
12,909 Cypress Ct,Stonebridge,GA,30024,USA
13,1010 Palm St,Palmview,FL,33176,USA
14,1111 Pinewood Pl,Woodland,WA,98674,USA
15,1212 Cherry Cir,Cherryville,NJ,07002,USA
